x,y,date,city,country,venue,tour,year
12.483896,41.894697,1995-06-20 00:00:00+00,Rome,Italy,Forte Prenestino,1995 Spring/Summer European Tour,1995
12.483896,41.894697,1999-09-30 00:00:00+00,Rome,Italy,Forte Prenestino,1999 Fall European Tour,1999
12.594996,42.355897,1992-06-05 00:00:00+00,Torino,Italy,Murazzi,1992 Spring European Tour,1992
12.594996,42.355897,1988-11-20 00:00:00+00,Torino,Italy,El Paso,1988 Fall European Tour,1988
12.594996,42.355897,1990-10-29 00:00:00+00,Torino,Italy,Hiroshima,1990 Fall European Tour,1990
12.594996,42.355897,1995-06-15 00:00:00+00,Torino,Italy,Parco Ex Ospedale Psichiatrico,1995 Spring/Summer European Tour,1995
13.242197,46.0619,1990-10-24 00:00:00+00,Udine,Italy,Ala Rock,1990 Fall European Tour,1990
13.242197,46.0619,1988-11-14 00:00:00+00,Udine,Italy,Centro Sociale Autogestito,1988 Fall European Tour,1988
10.997797,45.434198,1995-06-21 00:00:00+00,Verona,Italy,Forte Del Chievo,1995 Spring/Summer European Tour,1995
130.414742,33.609414,1996-10-21 00:00:00+00,Fukuoka,Japan,Viure Hall,1996 US/Japan/Hong Kong/Australia Tour,1996
135.7539,35.021098,1993-11-01 00:00:00+00,Kyoto,Japan,Muse Hall,1993 Japan/Australia/New Zealand Tour,1993
140.035,38.103598,1996-10-25 00:00:00+00,Nagoya,Japan,Heartland,1996 US/Japan/Hong Kong/Australia Tour,1996
140.035,38.103598,1993-11-03 00:00:00+00,Nagoya,Japan,Club Quattro,1993 Japan/Australia/New Zealand Tour,1993
133.934951,34.665326,1996-10-22 00:00:00+00,Okayama,Japan,Pepperland,1996 US/Japan/Hong Kong/Australia Tour,1996
139.601898,35.804696,1991-11-14 00:00:00+00,Osaka,Japan,Sun Hall,1991 Australia/New Zealand/Japan Tour,1991
139.601898,35.804696,1996-10-23 00:00:00+00,Osaka,Japan,Sun Hall,1996 US/Japan/Hong Kong/Australia Tour,1996
139.601898,35.804696,1993-10-31 00:00:00+00,Osaka,Japan,AM Hall,1993 Japan/Australia/New Zealand Tour,1993
141.346896,43.0642,1996-10-30 00:00:00+00,Sapporo,Japan,Counteraction,1996 US/Japan/Hong Kong/Australia Tour,1996
141.346896,43.0642,1996-10-31 00:00:00+00,Sapporo,Japan,Bessie,1996 US/Japan/Hong Kong/Australia Tour,1996
139.691699,35.689495,1993-11-06 00:00:00+00,Tokyo,Japan,Club Quattro,1993 Japan/Australia/New Zealand Tour,1993
139.691699,35.689495,1991-11-11 00:00:00+00,Tokyo,Japan,Anti Knock,1991 Australia/New Zealand/Japan Tour,1991
139.691699,35.689495,1991-11-12 00:00:00+00,Tokyo,Japan,Anti Knock,1991 Australia/New Zealand/Japan Tour,1991
139.691699,35.689495,1996-10-27 00:00:00+00,Tokyo,Japan,Guilty,1996 US/Japan/Hong Kong/Australia Tour,1996
139.691699,35.689495,1993-11-05 00:00:00+00,Tokyo,Japan,Club Quattro,1993 Japan/Australia/New Zealand Tour,1993
139.691699,35.689495,1996-10-28 00:00:00+00,Tokyo,Japan,Guilty,1996 US/Japan/Hong Kong/Australia Tour,1996
101.686499,3.141198,1996-11-06 00:00:00+00,Kuala Lumpur,Malaysia,Fire Club,1996 US/Japan/Hong Kong/Australia Tour,1996
4.889696,52.374,1990-09-04 00:00:00+00,Amsterdam,Netherlands,Paradiso,1990 Fall European Tour,1990
4.889696,52.374,1999-09-16 00:00:00+00,Amsterdam,Netherlands,Paradiso,1999 Fall European Tour,1999
4.889696,52.374,1992-05-01 00:00:00+00,Amsterdam,Netherlands,Paradiso,1992 Spring European Tour,1992
4.889696,52.374,1988-10-16 00:00:00+00,Amsterdam,Netherlands,Van Hall,1988 Fall European Tour,1988
4.889696,52.374,1990-11-07 00:00:00+00,Amsterdam,Netherlands,Paradiso,1990 Fall European Tour,1990
4.889696,52.374,1989-12-09 00:00:00+00,Amsterdam,Netherlands,Melkweg,1989 Fall European Tour,1989
4.889696,52.374,1995-05-17 00:00:00+00,Amsterdam,Netherlands,Paradiso,1995 Spring/Summer European Tour,1995
4.889696,52.374,1989-11-03 00:00:00+00,Amsterdam,Netherlands,Vranckrijk,1989 Fall European Tour,1989
5.3042,51.699199,1992-05-21 00:00:00+00,Den Bosch,Netherlands,William II,1992 Spring European Tour,1992
4.298597,52.076696,1992-05-24 00:00:00+00,Den Haag,Netherlands,Paard,1992 Spring European Tour,1992
5.477797,51.440797,1988-10-19 00:00:00+00,Eindhoven,Netherlands,Bunker,1988 Fall European Tour,1988
5.477797,51.440797,1988-12-16 00:00:00+00,Eindhoven,Netherlands,Effenaar,1988 Fall European Tour,1988
5.477797,51.440797,1995-05-04 00:00:00+00,Eindhoven,Netherlands,Effenaar,1995 Spring/Summer European Tour,1995
5.477797,51.440797,1989-12-08 00:00:00+00,Eindhoven,Netherlands,Effenaar,1989 Fall European Tour,1989
5.477797,51.440797,1990-09-05 00:00:00+00,Eindhoven,Netherlands,Effenaar,1990 Fall European Tour,1990
6.895797,52.218297,1990-09-06 00:00:00+00,Enschede,Netherlands,Agoara University,1990 Fall European Tour,1990
6.566698,53.219199,1989-12-07 00:00:00+00,Groningen,Netherlands,Vera,1989 Fall European Tour,1989
6.566698,53.219199,1995-07-07 00:00:00+00,Groningen,Netherlands,Vera,1995 Spring/Summer European Tour,1995
6.566698,53.219199,1992-05-20 00:00:00+00,Groningen,Netherlands,Vera,1992 Spring European Tour,1992
6.566698,53.219199,1990-09-03 00:00:00+00,Groningen,Netherlands,Vera,1990 Fall European Tour,1990
5.059699,52.642498,1988-10-15 00:00:00+00,Hoorn,Netherlands,Troll,1988 Fall European Tour,1988
5.059699,52.642498,1990-09-01 00:00:00+00,Hoorn,Netherlands,Troll,1990 Fall European Tour,1990
5.852798,51.842498,1992-07-11 00:00:00+00,Nijmegen,Netherlands,Doornroosje,1992 Spring European Tour,1992
5.852798,51.842498,1995-07-05 00:00:00+00,Nijmegen,Netherlands,Doornroosje,1995 Spring/Summer European Tour,1995
5.852798,51.842498,1989-11-09 00:00:00+00,Nijmegen,Netherlands,Doornroosje,1989 Fall European Tour,1989
4.479198,51.922498,1988-10-14 00:00:00+00,Rotterdam,Netherlands,Chill Up,1988 Fall European Tour,1988
4.479198,51.922498,1990-09-07 00:00:00+00,Rotterdam,Netherlands,Nighttown,1990 Fall European Tour,1990
5.091297,51.555497,1999-10-16 00:00:00+00,Tilburg,Netherlands,O13,1999 Fall European Tour,1999
6.168099,51.369997,1992-05-23 00:00:00+00,Venlo,Netherlands,Perron 55,1992 Spring European Tour,1992
5.666698,51.97,1990-09-08 00:00:00+00,Wageningen,Netherlands,Uni,1990 Fall European Tour,1990
174.766697,-36.8667,1993-12-12 00:00:00+00,Auckland,New Zealand,Powerstation,1993 Japan/Australia/New Zealand Tour,1993
174.766697,-36.8667,1993-12-11 00:00:00+00,Auckland,New Zealand,Powerstation,1993 Japan/Australia/New Zealand Tour,1993
174.766697,-36.8667,1997-06-27 00:00:00+00,Auckland,New Zealand,Powerstation,1997 Summer Australia/New Zealand Tour,1997
174.766697,-36.8667,1991-11-08 00:00:00+00,Auckland,New Zealand,Powerstation,1991 Australia/New Zealand/Japan Tour,1991
2.158997,41.388797,1992-05-31 00:00:00+00,Barcelona,Spain,Zeleste 2,1992 Spring European Tour,1992
172.633299,-43.533298,1997-07-02 00:00:00+00,Christchurch,New Zealand,Caledonian Hall,1997 Summer Australia/New Zealand Tour,1997
172.633299,-43.533298,1993-12-08 00:00:00+00,Christchurch,New Zealand,Caledonian Hall,1993 Japan/Australia/New Zealand Tour,1993
170.503599,-45.874199,1993-12-09 00:00:00+00,Dunedin,New Zealand,Sammy's,1993 Japan/Australia/New Zealand Tour,1993
170.503599,-45.874199,1997-07-01 00:00:00+00,Dunedin,New Zealand,Room,1997 Summer Australia/New Zealand Tour,1997
173.283996,-41.270798,1997-06-29 00:00:00+00,Nelson,New Zealand,Nelson Arts Centre,1997 Summer Australia/New Zealand Tour,1997
174.775597,-41.286595,1993-12-10 00:00:00+00,Wellington,New Zealand,Student Union,1993 Japan/Australia/New Zealand Tour,1993
174.775597,-41.286595,1997-06-28 00:00:00+00,Wellington,New Zealand,Victoria University,1997 Summer Australia/New Zealand Tour,1997
5.3242,60.392997,2000-10-04 00:00:00+00,Bergen,Norway,Kvarteret,2000 Fall Northern European Tour,2000
10.746099,59.912699,1992-07-06 00:00:00+00,Oslo,Norway,Rockefeller Music Hall,1992 Spring European Tour,1992
10.746099,59.912699,1995-07-14 00:00:00+00,Oslo,Norway,Sentrum Scene,1995 Spring/Summer European Tour,1995
10.746099,59.912699,1988-10-25 00:00:00+00,Oslo,Norway,Blitz,1988 Fall European Tour,1988
10.746099,59.912699,2000-10-02 00:00:00+00,Oslo,Norway,Rockefeller Music Hall,2000 Fall Northern European Tour,2000
10.746099,59.912699,1990-09-28 00:00:00+00,Oslo,Norway,Blitz,1990 Fall European Tour,1990
18.955096,69.648901,1990-09-29 00:00:00+00,Tromso,Norway,Brigga Lillero Cafe,1990 Fall European Tour,1990
10.395096,63.430496,1990-09-30 00:00:00+00,Trondheim,Norway,UFFA,1990 Fall European Tour,1990
10.395096,63.430496,2000-10-03 00:00:00+00,Trondheim,Norway,Uffa,2000 Fall Northern European Tour,2000
16.737799,53.151499,1990-10-04 00:00:00+00,Pila,Poland,Sports Gym,1990 Fall European Tour,1990
16.929899,52.406897,1992-06-26 00:00:00+00,Poznan,Poland,Eskulap,1992 Spring European Tour,1992
21.011796,52.2298,1990-10-05 00:00:00+00,Warsaw,Poland,Karuzela University,1990 Fall European Tour,1990
17.033297,51.099998,1999-09-21 00:00:00+00,Wroclaw,Poland,Kazamaty,1999 Fall European Tour,1999
15.008396,51.149395,1990-10-06 00:00:00+00,Zgorzelec,Poland,Cultural Center / Military Museum,1990 Fall European Tour,1990
-9.133298,38.7167,1995-05-31 00:00:00+00,Lisbon,Portugal,Gartejo,1995 Spring/Summer European Tour,1995
-2.098097,57.143698,1999-05-04 00:00:00+00,Aberdeen,Scotland,Lemon Tree,1999 Spring UK/Ireland Tour,1999
-3.196499,55.952098,1999-05-03 00:00:00+00,Edinburgh,Scotland,Liquid Room,1999 Spring UK/Ireland Tour,1999
-3.196499,55.952098,1990-09-15 00:00:00+00,Edinburgh,Scotland,Calton Studios,1990 Fall European Tour,1990
-4.257599,55.865196,1999-05-05 00:00:00+00,Glasgow,Scotland,Glasgow School of Art,1999 Spring UK/Ireland Tour,1999
-4.257599,55.865196,1995-05-08 00:00:00+00,Glasgow,Scotland,Barrowland Ballroom,1995 Spring/Summer European Tour,1995
-4.257599,55.865196,1989-11-27 00:00:00+00,Glasgow,Scotland,Mayfair,1989 Fall European Tour,1989
-4.257599,55.865196,1992-05-16 00:00:00+00,Glasgow,Scotland,Barrowland Ballroom,1992 Spring European Tour,1992
-4.257599,55.865196,2002-10-29 00:00:00+00,Glasgow,Scotland,Barrowland Ballroom,2002 Fall UK/Ireland Tour,2002
103.850096,1.289697,1993-11-08 00:00:00+00,Singapore,Singapore,Bukit Batok Community Center,1993 Japan/Australia/New Zealand Tour,1993
103.850096,1.289697,1996-11-08 00:00:00+00,Singapore,Singapore,Fire Club,1996 US/Japan/Hong Kong/Australia Tour,1996
14.505099,46.0511,1999-09-28 00:00:00+00,Ljubljana,Yugoslavia,Metelkova,1999 Fall European Tour,1999
14.505099,46.0511,1992-06-10 00:00:00+00,Ljubljana,Yugoslavia,University Student Bar,1992 Spring European Tour,1992
